gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/14/2018,3:30,Regular,Davis,Anthony,NO,West,Southwest,Away,Win,1,Garretson,Ron,Spooner,Bill,Van Duyne,Justin,Anthony Davis,Starter,50,PF,82,220,3/11/1993,48,0,4,4,3,2,30,17,0.5667,24,15,0.625,6,2,0.3333,15,12,0.8,6,11,17,NY,East,Atlantic,Home,Loss,1
2/23/2018,8:00,Regular,Davis,Anthony,NO,West,Southwest,Home,Win,9,Williams,James,Blair,Curtis,Zielinski,Gary,Anthony Davis,Starter,41,PF,82,220,3/11/1993,45,2,2,5,5,2,34,17,0.5,28,16,0.5714,6,1,0.1667,11,10,0.9091,4,13,17,MIA,East,Southeast,Away,Loss,9
1/16/2018,7:30,Regular,Davis,Anthony,NO,West,Southwest,Away,Win,2,Wright,Sean,Scott,Kevin,Holtkamp,Lauren,Anthony Davis,Starter,45,PF,82,220,3/11/1993,45,2,1,1,2,2,34,16,0.4706,31,16,0.5161,3,0,0,15,13,0.8667,8,8,16,BOS,East,Atlantic,Home,Loss,5
2/10/2018,6:00,Regular,Davis,Anthony,NO,West,Southwest,Away,Win,0,Taylor,Ben,Malloy,Ed,Sterling,Jonathan,Anthony Davis,Starter,50,PF,82,220,3/11/1993,44,2,3,6,3,2,35,16,0.4571,30,13,0.4333,5,3,0.6,14,9,0.6429,4,13,17,BKN,East,Atlantic,Home,Loss,2
2/2/2018,9:00,Regular,Davis,Anthony,NO,West,Southwest,Away,Win,3,Lindsay,Mark,Williams,James,Ford,Tyler,Anthony Davis,Starter,38,PF,82,220,3/11/1993,43,0,5,3,1,4,34,17,0.5,28,14,0.5,6,3,0.5,8,6,0.75,0,10,10,OKC,West,Northwest,Home,Loss,0
2/14/2018,8:00,Regular,Davis,Anthony,NO,West,Southwest,Home,Win,2,Goble,John,Ervin,Mitchell,Smith,Michael,Anthony Davis,Starter,33,PF,82,220,3/11/1993,42,3,1,3,2,2,18,15,0.8333,16,13,0.8125,2,2,1,11,10,0.9091,3,12,15,LAL,West,Pacific,Away,Loss,3
10/30/2017,8:00,Regular,Davis,Anthony,NO,West,Southwest,Home,Loss,2,Forte,Brian,Richardson,Derek,Ayotte,Mark,Anthony Davis,Starter,41,PF,82,220,3/11/1993,39,2,2,0,3,1,20,13,0.65,18,13,0.7222,2,0,0,15,13,0.8667,3,7,10,ORL,East,Southeast,Away,Win,1
2/3/2018,9:00,Regular,Davis,Anthony,NO,West,Southwest,Away,Loss,1,Guthrie,David,Washington,C.J.,Wall,Scott,Anthony Davis,Starter,36,PF,82,220,3/11/1993,38,1,2,2,1,1,30,16,0.5333,26,15,0.5769,4,1,0.25,5,5,1,5,4,9,MIN,West,Northwest,Home,Win,2
2/12/2018,7:00,Regular,Davis,Anthony,NO,West,Southwest,Away,Win,2,Lane,Karl,Stafford,Derrick,Acosta,Ray,Anthony Davis,Starter,37,PF,82,220,3/11/1993,38,1,2,1,2,1,24,14,0.5833,18,11,0.6111,6,3,0.5,7,7,1,1,9,10,DET,East,Central,Home,Loss,1
12/19/2017,7:00,Regular,Davis,Anthony,NO,West,Southwest,Away,Loss,3,Foster,Scott,Adams,Bennie,Sterling,Jonathan,Anthony Davis,Starter,37,PF,82,220,3/11/1993,37,1,2,1,0,1,21,11,0.5238,18,10,0.5556,3,1,0.3333,15,14,0.9333,5,4,9,WAS,East,Southeast,Home,Win,2
