gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
10/21/2017,8:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,1,Voyard-Tadal,Vladimir,Barnaky,Brent,Zarba,Zach,Giannis Antetokounmpo,Starter,39,SF,82,205,12/16/1994,44,4,2,2,1,3,23,17,0.7391,19,16,0.8421,4,1,0.25,13,9,0.6923,2,6,8,POR,West,Northwest,Away,Loss,1
1/26/2018,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,4,Fitzgerald,Kane,Smith,Aaron,Lewis,Eric,Giannis Antetokounmpo,Starter,33,PF,82,205,12/16/1994,41,7,1,2,2,2,20,14,0.7,17,11,0.6471,3,3,1,11,10,0.9091,2,11,13,BKN,East,Atlantic,Away,Loss,3
11/7/2017,7:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Loss,4,Twardoski,Scott,Zielinski,Gary,Callahan,Mike,Giannis Antetokounmpo,Starter,40,PF,82,205,12/16/1994,40,3,8,0,4,6,21,16,0.7619,21,16,0.7619,0,0,0,11,8,0.7273,4,5,9,CLE,East,Central,Home,Win,2
12/4/2017,7:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Loss,1,Wright,Sean,Barnaky,Brent,Van Duyne,Justin,Giannis Antetokounmpo,Starter,39,PF,82,205,12/16/1994,40,4,4,0,0,5,24,14,0.5833,23,14,0.6087,1,0,0,14,12,0.8571,1,8,9,BOS,East,Atlantic,Home,Win,2
10/18/2017,7:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Win,0,Goldenberg,Jason,Lindsay,Mark,Washington,Tom,Giannis Antetokounmpo,Starter,37,SF,82,205,12/16/1994,37,3,5,3,0,4,22,13,0.5909,21,13,0.619,1,0,0,13,11,0.8462,1,12,13,BOS,East,Atlantic,Home,Loss,0
12/9/2017,8:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,1,Foster,Scott,Wall,Scott,Sterling,Jonathan,Giannis Antetokounmpo,Starter,39,PF,82,205,12/16/1994,37,7,2,2,0,4,22,14,0.6364,21,13,0.619,1,1,1,9,8,0.8889,3,10,13,UTA,West,Northwest,Away,Loss,1
2/15/2018,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Loss,2,Wright,Sean,Wall,Scott,Collins,Derrick,Giannis Antetokounmpo,Starter,39,PF,82,205,12/16/1994,36,13,6,0,3,2,21,14,0.6667,19,13,0.6842,2,1,0.5,12,7,0.5833,3,8,11,DEN,West,Northwest,Away,Win,1
1/6/2018,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Win,1,Scott,Kevin,Mott,Rodney,Wood,Leon,Giannis Antetokounmpo,Starter,41,PF,82,205,12/16/1994,34,7,3,2,1,5,17,12,0.7059,16,11,0.6875,1,1,1,10,9,0.9,2,10,12,WAS,East,Southeast,Home,Loss,0
10/20/2017,7:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Loss,1,Tiven,Josh,Petraitis,Gediminas,Davis,Marc,Giannis Antetokounmpo,Starter,39,SF,82,205,12/16/1994,34,8,2,3,1,2,22,15,0.6818,21,15,0.7143,1,0,0,6,4,0.6667,2,6,8,CLE,East,Central,Away,Win,2
11/11/2017,8:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,0,Ayotte,Mark,Capers,James,Acosta,Ray,Giannis Antetokounmpo,Starter,40,PF,82,205,12/16/1994,33,3,3,1,1,3,19,12,0.6316,18,12,0.6667,1,0,0,11,9,0.8182,3,12,15,LAL,West,Pacific,Away,Loss,2
12/2/2017,8:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,1,Taylor,Dedric,Zielinski,Gary,Washington,Tom,Giannis Antetokounmpo,Starter,34,PF,82,205,12/16/1994,33,5,2,3,1,2,15,8,0.5333,13,8,0.6154,2,0,0,22,17,0.7727,3,10,13,SAC,West,Pacific,Away,Loss,1
10/29/2017,3:30,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Win,2,Wright,Sean,Ransom,Phenizee,Lewis,Eric,Giannis Antetokounmpo,Starter,38,SF,82,205,12/16/1994,33,5,1,0,0,4,21,14,0.6667,18,13,0.7222,3,1,0.3333,6,4,0.6667,1,10,11,ATL,East,Southeast,Home,Loss,1
10/23/2017,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,1,Taylor,Ben,Richardson,Leroy,Capers,James,Giannis Antetokounmpo,Starter,39,SF,82,205,12/16/1994,32,6,6,1,2,5,21,13,0.619,21,13,0.619,0,0,0,8,6,0.75,2,12,14,CHA,East,Southeast,Away,Loss,3
2/10/2018,7:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Win,0,Lindsay,Mark,Richardson,Leroy,Acosta,Ray,Giannis Antetokounmpo,Starter,38,PF,82,205,12/16/1994,32,5,3,1,2,2,24,14,0.5833,23,14,0.6087,1,0,0,7,4,0.5714,1,4,5,ORL,East,Southeast,Home,Loss,2
11/28/2017,10:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Win,3,Goldenberg,Jason,Williams,James,Foster,Scott,Giannis Antetokounmpo,Starter,26,SF,82,205,12/16/1994,32,5,2,5,1,4,16,11,0.6875,15,10,0.6667,1,1,1,13,9,0.6923,0,5,5,SAC,West,Pacific,Home,Loss,0
12/13/2017,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Away,Loss,3,Petraitis,Gediminas,Richardson,Leroy,Brothers,Tony,Giannis Antetokounmpo,Starter,42,PF,82,205,12/16/1994,32,4,2,5,1,1,24,13,0.5417,22,12,0.5455,2,1,0.5,8,5,0.625,5,4,9,NO,West,Southwest,Home,Win,2
1/29/2018,8:00,Regular,Antetokounmpo,Giannis,MIL,East,Central,Home,Win,1,Tiven,Josh,Twardoski,Scott,Brothers,Tony,Giannis Antetokounmpo,Starter,36,PF,82,205,12/16/1994,31,6,4,0,1,4,22,10,0.4545,17,9,0.5294,5,1,0.2,10,10,1,3,15,18,PHI,East,Atlantic,Away,Loss,1
