gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/30/2018,8:00,Regular,Harden,James,HOU,West,Southwest,Home,Win,2,Taylor,Dedric,Adams,Bennie,Brown,Tony,James Harden,Starter,46,PG,77,218,8/26/1989,60,11,5,4,1,2,30,19,0.6333,16,14,0.875,14,5,0.3571,18,17,0.9444,2,8,10,ORL,East,Southeast,Away,Loss,7
11/5/2017,7:00,Regular,Harden,James,HOU,West,Southwest,Home,Win,1,Tiven,Josh,Taylor,Ben,Lewis,Eric,James Harden,Starter,35,PG,77,218,8/26/1989,56,13,7,2,0,3,25,19,0.76,17,12,0.7059,8,7,0.875,12,11,0.9167,0,2,2,UTA,West,Northwest,Away,Loss,1
12/22/2017,8:00,Regular,Harden,James,HOU,West,Southwest,Home,Loss,2,Foster,Scott,Fraher,Pat,Van Duyne,Justin,James Harden,Starter,41,PG,77,218,8/26/1989,51,8,8,3,0,6,28,15,0.5357,14,9,0.6429,14,6,0.4286,16,15,0.9375,0,4,4,LAC,West,Pacific,Away,Win,1
12/20/2017,8:00,Regular,Harden,James,HOU,West,Southwest,Home,Loss,2,Richardson,Leroy,Smith,Michael,Zarba,Zach,James Harden,Starter,43,PG,77,218,8/26/1989,51,9,6,1,1,5,27,15,0.5556,21,11,0.5238,6,4,0.6667,21,17,0.8095,0,3,3,LAL,West,Pacific,Away,Win,1
11/16/2017,10:30,Regular,Harden,James,HOU,West,Southwest,Away,Win,2,Twardoski,Scott,Lane,Karl,Spooner,Bill,James Harden,Starter,35,PG,77,218,8/26/1989,48,7,5,2,1,3,22,12,0.5455,11,6,0.5455,11,6,0.5455,18,18,1,0,2,2,PHO,West,Pacific,Home,Loss,3
12/9/2017,10:00,Regular,Harden,James,HOU,West,Southwest,Away,Win,1,Lane,Karl,Nansel,Brett,Zarba,Zach,James Harden,Starter,37,PG,77,218,8/26/1989,48,3,2,3,0,2,29,16,0.5517,22,12,0.5455,7,4,0.5714,14,12,0.8571,1,7,8,POR,West,Northwest,Home,Loss,4
2/7/2018,7:30,Regular,Harden,James,HOU,West,Southwest,Away,Win,1,Goldenberg,Jason,Wall,Scott,Lewis,Eric,James Harden,Starter,36,PG,77,218,8/26/1989,41,6,4,3,1,2,25,13,0.52,13,8,0.6154,12,5,0.4167,12,10,0.8333,0,4,4,MIA,East,Southeast,Home,Loss,2
12/31/2017,7:00,Regular,Harden,James,HOU,West,Southwest,Home,Win,2,Goble,John,Ford,Tyler,Wood,Leon,James Harden,Starter,41,PG,77,218,8/26/1989,40,11,1,2,2,2,20,10,0.5,12,7,0.5833,8,3,0.375,21,17,0.8095,0,2,2,LAL,West,Pacific,Away,Loss,1
11/14/2017,8:00,Regular,Harden,James,HOU,West,Southwest,Home,Loss,2,Nansel,Brett,Adams,Bennie,Corbin,Sean,James Harden,Starter,39,PG,77,218,8/26/1989,38,11,9,0,1,5,25,8,0.32,14,5,0.3571,11,3,0.2727,19,19,1,1,5,6,TOR,East,Atlantic,Away,Win,2
11/11/2017,8:00,Regular,Harden,James,HOU,West,Southwest,Home,Win,2,Goble,Jacyn,Scott,Kevin,Washington,Tom,James Harden,Starter,38,PG,77,218,8/26/1989,38,8,3,0,1,3,25,11,0.44,11,5,0.4545,14,6,0.4286,14,10,0.7143,0,4,4,MEM,West,Southwest,Away,Loss,3
