gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
12/27/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,1,Workman,Haywoode,Buchert,Nick,Capers,James,Jimmy Butler,Starter,42,SG,79,220,9/14/1989,39,5,1,1,0,0,20,10,0.5,14,7,0.5,6,3,0.5,18,16,0.8889,0,4,4,DEN,West,Northwest,Away,Loss,0
2/9/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,2,Tiven,Josh,Richardson,Derek,Capers,James,Jimmy Butler,Starter,41,SG,79,220,9/14/1989,38,5,1,4,0,1,26,11,0.4231,17,8,0.4706,9,3,0.3333,15,13,0.8667,1,6,7,CHI,East,Central,Home,Win,3
12/12/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Loss,2,Guthrie,David,Twardoski,Scott,Fraher,Pat,Jimmy Butler,Starter,46,SG,79,220,9/14/1989,38,3,1,1,0,1,33,15,0.4545,24,12,0.5,9,3,0.3333,5,5,1,3,3,6,PHI,East,Atlantic,Away,Win,2
12/18/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Taylor,Ben,Richardson,Leroy,Foster,Scott,Jimmy Butler,Starter,35,SG,79,220,9/14/1989,37,4,0,3,0,0,21,12,0.5714,18,10,0.5556,3,2,0.6667,12,11,0.9167,1,5,6,POR,West,Northwest,Away,Loss,2
2/7/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,3,Buchert,Nick,Petraitis,Gediminas,Callahan,Mike,Jimmy Butler,Starter,46,SG,79,220,9/14/1989,35,6,2,2,0,2,21,14,0.6667,16,10,0.625,5,4,0.8,3,3,1,0,5,5,CLE,East,Central,Home,Win,1
12/3/2017,7:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,1,Richardson,Leroy,Spooner,Bill,Lewis,Eric,Jimmy Butler,Starter,40,SG,79,220,9/14/1989,33,4,1,1,1,2,20,10,0.5,16,8,0.5,4,2,0.5,13,11,0.8462,3,5,8,LAC,West,Pacific,Away,Loss,1
12/23/2017,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Win,3,Fitzgerald,Kane,Smith,Aaron,Wood,Leon,Jimmy Butler,Starter,38,SG,79,220,9/14/1989,32,3,1,0,1,2,19,10,0.5263,16,10,0.625,3,0,0,13,12,0.9231,2,4,6,PHO,West,Pacific,Home,Loss,2
2/3/2018,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Guthrie,David,Washington,C.J.,Wall,Scott,Jimmy Butler,Starter,37,SG,79,220,9/14/1989,30,7,2,2,0,1,21,11,0.5238,17,9,0.5294,4,2,0.5,9,6,0.6667,1,7,8,NO,West,Southwest,Away,Loss,1
1/3/2018,7:30,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,1,Brothers,Tony,Boland,Matt,Richardson,Derek,Jimmy Butler,Starter,39,SG,79,220,9/14/1989,30,4,2,2,1,1,17,7,0.4118,15,7,0.4667,2,0,0,18,16,0.8889,2,1,3,BKN,East,Atlantic,Home,Win,2
12/4/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,1,Blair,Curtis,Zielinski,Gary,Callahan,Mike,Jimmy Butler,Starter,40,SG,79,220,9/14/1989,30,5,2,4,0,2,21,11,0.5238,14,9,0.6429,7,2,0.2857,7,6,0.8571,1,1,2,MEM,West,Southwest,Home,Win,2
1/1/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,1,Goble,Jacyn,Guthrie,David,Smith,Michael,Jimmy Butler,Starter,37,SG,79,220,9/14/1989,28,9,7,3,1,2,14,8,0.5714,13,7,0.5385,1,1,1,11,11,1,1,2,3,LAL,West,Pacific,Away,Loss,1
2/1/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Mauer,Ken,Fraher,Pat,Sterling,Jonathan,Jimmy Butler,Starter,40,SG,79,220,9/14/1989,28,6,3,1,0,1,15,8,0.5333,10,6,0.6,5,2,0.4,11,10,0.9091,0,4,4,MIL,East,Central,Away,Loss,3
1/16/2018,7:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,1,Barnaky,Brent,Ervin,Mitchell,Kennedy,Bill,Jimmy Butler,Starter,39,SG,79,220,9/14/1989,28,4,0,5,2,3,22,11,0.5,17,9,0.5294,5,2,0.4,4,4,1,4,3,7,ORL,East,Southeast,Home,Win,4
11/19/2017,7:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Loss,1,Petraitis,Gediminas,Wood,Leon,Corbin,Sean,Jimmy Butler,Starter,42,SG,79,220,9/14/1989,26,4,5,5,0,1,15,10,0.6667,10,8,0.8,5,2,0.4,6,4,0.6667,1,9,10,DET,East,Central,Away,Win,2
1/10/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Wright,Sean,Kogut,Marat,Ayotte,Mark,Jimmy Butler,Starter,36,SG,79,220,9/14/1989,26,8,4,4,2,0,13,7,0.5385,11,6,0.5455,2,1,0.5,12,11,0.9167,1,6,7,OKC,West,Northwest,Away,Loss,1
12/31/2017,5:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Win,2,Kogut,Marat,Kennedy,Bill,DeRosa,Joe,Jimmy Butler,Starter,27,SG,79,220,9/14/1989,26,5,1,3,0,0,11,8,0.7273,11,8,0.7273,0,0,0,11,10,0.9091,2,4,6,IND,East,Central,Home,Loss,1
11/22/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Goldenberg,Jason,Buchert,Nick,Washington,Tom,Jimmy Butler,Starter,36,SG,79,220,9/14/1989,26,3,1,2,0,1,19,10,0.5263,15,7,0.4667,4,3,0.75,5,3,0.6,1,2,3,ORL,East,Southeast,Away,Loss,2
12/20/2017,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Win,2,Goldenberg,Jason,Tiven,Josh,Malloy,Ed,Jimmy Butler,Starter,35,SG,79,220,9/14/1989,25,4,3,2,0,1,15,8,0.5333,11,7,0.6364,4,1,0.25,8,8,1,1,1,2,DEN,West,Northwest,Home,Loss,2
11/11/2017,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,2,Workman,Haywoode,Buchert,Nick,Fraher,Pat,Jimmy Butler,Starter,40,SG,79,220,9/14/1989,25,5,3,1,1,2,17,5,0.2941,14,4,0.2857,3,1,0.3333,16,14,0.875,5,2,7,PHO,West,Pacific,Home,Win,1
11/26/2017,3:30,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,1,Holtkamp,Lauren,Smith,Michael,Callahan,Mike,Jimmy Butler,Starter,36,SG,79,220,9/14/1989,25,5,1,3,1,2,19,11,0.5789,18,11,0.6111,1,0,0,5,3,0.6,0,4,4,PHO,West,Pacific,Away,Loss,1
10/27/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Van Duyne,Justin,Mauer,Ken,Brown,Tony,Jimmy Butler,Starter,38,SF,79,220,9/14/1989,25,7,1,0,0,1,10,7,0.7,10,7,0.7,0,0,0,13,11,0.8462,2,3,5,OKC,West,Northwest,Away,Loss,2
1/30/2018,7:30,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,1,Goldenberg,Jason,Scott,Kevin,Phillips,Jason,Jimmy Butler,Starter,38,SG,79,220,9/14/1989,25,6,0,0,0,2,17,9,0.5294,14,7,0.5,3,2,0.6667,10,5,0.5,1,4,5,TOR,East,Atlantic,Home,Win,2
1/29/2018,7:30,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,3,Guthrie,David,Holtkamp,Lauren,Ford,Tyler,Jimmy Butler,Starter,36,SG,79,220,9/14/1989,24,3,4,1,1,2,15,7,0.4667,12,6,0.5,3,1,0.3333,9,9,1,2,5,7,ATL,East,Southeast,Home,Win,3
2/15/2018,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Scott,Kevin,Capers,James,Van Duyne,Justin,Jimmy Butler,Starter,41,SG,79,220,9/14/1989,24,4,1,1,3,3,20,7,0.35,13,7,0.5385,7,0,0,11,10,0.9091,1,4,5,LAL,West,Pacific,Away,Loss,1
1/14/2018,9:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,2,Buchert,Nick,Blair,Curtis,Capers,James,Jimmy Butler,Starter,34,SG,79,220,9/14/1989,24,4,0,2,0,2,11,7,0.6364,10,6,0.6,1,1,1,11,9,0.8182,1,4,5,POR,West,Northwest,Away,Loss,2
11/1/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Win,2,Zarba,Zach,Boland,Matt,Sterling,Jonathan,Jimmy Butler,Starter,33,SG,79,220,9/14/1989,23,2,2,3,0,0,18,8,0.4444,15,8,0.5333,3,0,0,10,7,0.7,0,4,4,NO,West,Southwest,Home,Loss,2
12/25/2017,10:30,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Win,2,Brothers,Tony,Adams,Bennie,Richardson,Derek,Jimmy Butler,Starter,41,SG,79,220,9/14/1989,23,8,2,2,0,0,20,11,0.55,13,10,0.7692,7,1,0.1429,0,0,0,1,4,5,LAL,West,Pacific,Home,Loss,2
1/18/2018,9:30,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,2,Maddox,Tre,Fraher,Pat,Zarba,Zach,Jimmy Butler,Starter,42,SG,79,220,9/14/1989,23,2,1,2,1,1,15,8,0.5333,14,8,0.5714,1,0,0,8,7,0.875,1,3,4,HOU,West,Southwest,Home,Win,2
12/1/2017,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Away,Loss,2,Goble,John,Nansel,Brett,Kirkland,Courtney,Jimmy Butler,Starter,41,SG,79,220,9/14/1989,22,7,3,3,2,2,16,7,0.4375,13,6,0.4615,3,1,0.3333,7,7,1,1,2,3,OKC,West,Northwest,Home,Win,2
12/10/2017,7:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,3,Petraitis,Gediminas,Zielinski,Gary,Collins,Derrick,Jimmy Butler,Starter,41,SG,79,220,9/14/1989,22,5,1,2,0,1,17,9,0.5294,11,7,0.6364,6,2,0.3333,3,2,0.6667,0,7,7,DAL,West,Southwest,Away,Loss,1
1/8/2018,8:00,Regular,Butler,Jimmy,MIN,West,Northwest,Home,Win,1,Scott,Kevin,Holtkamp,Lauren,Washington,Tom,Jimmy Butler,Starter,27,SG,79,220,9/14/1989,21,9,2,3,0,1,13,7,0.5385,7,3,0.4286,6,4,0.6667,4,3,0.75,2,6,8,CLE,East,Central,Away,Loss,2
