gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/10/2018,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Loss,3,Barnaky,Brent,Holtkamp,Lauren,Brothers,Tony,John Wall,Starter,42,PG,76,195,9/6/1990,35,11,8,3,1,1,27,14,0.5185,21,11,0.5238,6,3,0.5,7,4,0.5714,2,4,6,UTA,West,Northwest,Away,Win,3
11/22/2017,7:00,Regular,Wall,John,WAS,East,Southeast,Away,Loss,1,Taylor,Ben,Smith,Aaron,Capers,James,John Wall,Starter,41,PG,76,195,9/6/1990,31,11,1,1,1,4,26,13,0.5,21,13,0.619,5,0,0,6,5,0.8333,1,0,1,CHA,East,Southeast,Home,Win,2
1/12/2018,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,2,Wright,Sean,Orr,J.T.,Garretson,Ron,John Wall,Starter,36,PG,76,195,9/6/1990,30,9,4,1,3,1,21,13,0.619,19,12,0.6316,2,1,0.5,5,3,0.6,0,3,3,ORL,East,Southeast,Away,Loss,1
10/18/2017,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,0,Guthrie,David,Taylor,Dedric,Zarba,Zach,John Wall,Starter,37,PG,76,195,9/6/1990,28,8,2,0,2,2,28,10,0.3571,25,10,0.4,3,0,0,9,8,0.8889,2,3,5,PHI,East,Atlantic,Away,Loss,0
1/15/2018,2:00,Regular,Wall,John,WAS,East,Southeast,Home,Loss,1,Workman,Haywoode,Kirkland,Courtney,Davis,Marc,John Wall,Starter,41,PG,76,195,9/6/1990,27,9,4,3,2,2,22,7,0.3182,19,6,0.3158,3,1,0.3333,13,12,0.9231,0,4,4,MIL,East,Central,Away,Win,1
11/15/2017,7:30,Regular,Wall,John,WAS,East,Southeast,Away,Win,2,Richardson,Leroy,Foster,Scott,Wood,Leon,John Wall,Starter,38,PG,76,195,9/6/1990,27,6,1,1,2,2,21,9,0.4286,18,7,0.3889,3,2,0.6667,8,7,0.875,1,3,4,MIA,East,Southeast,Home,Loss,3
10/20/2017,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,2,Cutler,Kevin,Blair,Curtis,Corbin,Sean,John Wall,Starter,34,PG,76,195,9/6/1990,26,10,8,1,2,1,12,8,0.6667,9,7,0.7778,3,1,0.3333,11,9,0.8182,0,3,3,DET,East,Central,Away,Loss,2
1/5/2018,9:30,Regular,Wall,John,WAS,East,Southeast,Away,Win,2,Smith,Aaron,Brown,Tony,Kennedy,Bill,John Wall,Starter,36,PG,76,195,9/6/1990,25,9,4,4,1,0,16,8,0.5,11,5,0.4545,5,3,0.6,8,6,0.75,2,1,3,MEM,West,Southwest,Home,Loss,2
1/3/2018,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,3,Taylor,Ben,Mauer,Ken,Ayotte,Mark,John Wall,Starter,34,PG,76,195,9/6/1990,25,9,3,1,1,0,18,9,0.5,15,8,0.5333,3,1,0.3333,9,6,0.6667,1,2,3,NY,East,Atlantic,Away,Loss,0
1/13/2018,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,1,Williams,James,Wall,Scott,DeRosa,Joe,John Wall,Starter,40,PG,76,195,9/6/1990,23,16,8,2,0,1,24,9,0.375,22,9,0.4091,2,0,0,6,5,0.8333,0,3,3,BKN,East,Atlantic,Away,Loss,0
11/7/2017,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Loss,2,Lindsay,Mark,Tiven,Josh,Richardson,Leroy,John Wall,Starter,37,PG,76,195,9/6/1990,23,14,4,1,1,3,10,5,0.5,9,5,0.5556,1,0,0,18,13,0.7222,0,3,3,DAL,West,Southwest,Away,Win,2
11/9/2017,7:00,Regular,Wall,John,WAS,East,Southeast,Home,Win,2,Goldenberg,Jason,Dalen,Eric,Stafford,Derrick,John Wall,Starter,32,PG,76,195,9/6/1990,23,5,2,2,3,3,18,8,0.4444,16,8,0.5,2,0,0,7,7,1,1,7,8,LAL,West,Pacific,Away,Loss,0
