gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
2/13/2018,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Loss,2,Wright,Sean,Smith,Aaron,Collins,Derrick,Karl-Anthony Towns,Starter,35,C,83,248,11/15/1995,35,3,1,1,3,6,16,12,0.75,13,10,0.7692,3,2,0.6667,9,9,1,5,7,12,HOU,West,Southwest,Away,Win,2
10/27/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,2,Van Duyne,Justin,Mauer,Ken,Brown,Tony,Karl-Anthony Towns,Starter,36,C,83,248,11/15/1995,33,0,1,0,4,4,24,12,0.5,20,11,0.55,4,1,0.25,9,8,0.8889,7,12,19,OKC,West,Northwest,Away,Loss,2
11/26/2017,3:30,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,1,Holtkamp,Lauren,Smith,Michael,Callahan,Mike,Karl-Anthony Towns,Starter,39,C,83,248,11/15/1995,32,2,1,0,1,2,26,12,0.4615,20,10,0.5,6,2,0.3333,6,6,1,5,7,12,PHO,West,Pacific,Away,Loss,1
11/4/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,3,Cutler,Kevin,Blair,Curtis,Foster,Scott,Karl-Anthony Towns,Starter,32,C,83,248,11/15/1995,31,2,2,0,2,2,18,11,0.6111,13,9,0.6923,5,2,0.4,8,7,0.875,3,9,12,DAL,West,Southwest,Away,Loss,0
1/25/2018,10:30,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Loss,1,Twardoski,Scott,Davis,Marc,Boland,Matt,Karl-Anthony Towns,Starter,36,C,83,248,11/15/1995,31,5,2,0,0,2,24,13,0.5417,19,12,0.6316,5,1,0.2,6,4,0.6667,5,6,11,GS,West,Pacific,Home,Win,2
2/7/2018,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Loss,3,Buchert,Nick,Petraitis,Gediminas,Callahan,Mike,Karl-Anthony Towns,Starter,37,C,83,248,11/15/1995,30,1,3,1,2,2,12,10,0.8333,6,4,0.6667,6,6,1,4,4,1,1,9,10,CLE,East,Central,Home,Win,1
12/14/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,2,Lane,Karl,Maddox,Tre,McCutchen,Monty,Karl-Anthony Towns,Starter,35,C,83,248,11/15/1995,30,5,0,1,5,4,16,11,0.6875,12,9,0.75,4,2,0.5,9,6,0.6667,5,9,14,SAC,West,Pacific,Away,Loss,1
2/11/2018,7:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,1,Washington,Tom,Boland,Matt,DeRosa,Joe,Karl-Anthony Towns,Starter,37,C,83,248,11/15/1995,29,6,1,1,3,1,17,10,0.5882,10,8,0.8,7,2,0.2857,7,7,1,2,6,8,SAC,West,Pacific,Away,Loss,1
12/10/2017,7:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Win,3,Petraitis,Gediminas,Zielinski,Gary,Collins,Derrick,Karl-Anthony Towns,Starter,38,C,83,248,11/15/1995,28,4,7,3,0,4,15,10,0.6667,11,8,0.7273,4,2,0.5,6,6,1,4,8,12,DAL,West,Southwest,Away,Loss,1
10/24/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Loss,2,Kogut,Marat,Orr,J.T.,Brothers,Tony,Karl-Anthony Towns,Starter,31,C,83,248,11/15/1995,28,2,3,0,2,4,17,12,0.7059,16,12,0.75,1,0,0,4,4,1,2,5,7,IND,East,Central,Away,Win,3
12/16/2017,8:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Home,Loss,2,Mauer,Ken,Ransom,Phenizee,Ayotte,Mark,Karl-Anthony Towns,Starter,40,C,83,248,11/15/1995,28,4,1,2,1,5,17,7,0.4118,10,3,0.3,7,4,0.5714,12,10,0.8333,4,7,11,PHO,West,Pacific,Away,Win,2
10/22/2017,7:00,Regular,Towns,Karl-Anthony,MIN,West,Northwest,Away,Win,1,Zielinski,Gary,Washington,Tom,Sterling,Jonathan,Karl-Anthony Towns,Starter,36,C,83,248,11/15/1995,27,1,4,0,1,5,17,11,0.6471,10,9,0.9,7,2,0.2857,3,3,1,4,8,12,OKC,West,Northwest,Home,Loss,0
