gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
2/14/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,2,Wood,Leon,Brown,Tony,Spooner,Bill,Kevin Durant,Starter,37,SF,81,225,12/29/1988,50,6,4,0,2,1,27,17,0.6296,13,11,0.8462,14,6,0.4286,10,10,1,0,7,7,POR,West,Northwest,Home,Win,3
1/10/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,2,Tiven,Josh,Taylor,Ben,Mauer,Ken,Kevin Durant,Starter,31,SF,81,225,12/29/1988,40,4,5,1,1,3,18,14,0.7778,11,8,0.7273,7,6,0.8571,8,6,0.75,0,4,4,LAC,West,Pacific,Away,Win,2
12/14/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,3,Goble,John,Washington,C.J.,Boland,Matt,Kevin Durant,Starter,34,SF,81,225,12/29/1988,36,7,5,0,2,2,23,15,0.6522,15,11,0.7333,8,4,0.5,2,2,1,0,11,11,DAL,West,Southwest,Away,Loss,2
12/8/2017,7:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,McCutchen,Monty,Richardson,Derek,Collins,Derrick,Kevin Durant,Starter,39,SF,81,225,12/29/1988,36,7,2,1,5,3,23,12,0.5217,17,9,0.5294,6,3,0.5,10,9,0.9,1,9,10,DET,East,Central,Home,Loss,1
12/18/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,4,Blair,Curtis,Wood,Leon,Kennedy,Bill,Kevin Durant,Starter,41,SF,81,225,12/29/1988,36,8,2,1,3,3,29,10,0.3448,18,6,0.3333,11,4,0.3636,13,12,0.9231,0,11,11,LAL,West,Pacific,Home,Loss,4
12/6/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Buchert,Nick,Washington,C.J.,Callahan,Mike,Kevin Durant,Starter,36,SF,81,225,12/29/1988,35,10,3,0,2,2,28,13,0.4643,18,10,0.5556,10,3,0.3,6,6,1,0,11,11,CHA,East,Southeast,Home,Loss,2
2/6/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,3,Kogut,Marat,Holtkamp,Lauren,Mauer,Ken,Kevin Durant,Starter,30,SF,81,225,12/29/1988,33,1,5,1,1,1,14,8,0.5714,6,5,0.8333,8,3,0.375,15,14,0.9333,1,5,6,OKC,West,Northwest,Away,Win,2
2/2/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,3,Smith,Aaron,Adams,Bennie,Zarba,Zach,Kevin Durant,Starter,37,SF,81,225,12/29/1988,33,6,5,0,0,2,17,12,0.7059,10,6,0.6,7,6,0.8571,3,3,1,0,4,4,SAC,West,Pacific,Home,Loss,3
12/22/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Tiven,Josh,Twardoski,Scott,Malloy,Ed,Kevin Durant,Starter,38,SF,81,225,12/29/1988,33,7,1,2,4,3,20,9,0.45,10,6,0.6,10,3,0.3,13,12,0.9231,0,7,7,LAL,West,Pacific,Away,Loss,2
1/15/2018,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Kogut,Marat,Foster,Scott,Lewis,Eric,Kevin Durant,Starter,35,SF,81,225,12/29/1988,32,8,3,3,1,3,16,9,0.5625,10,5,0.5,6,4,0.6667,10,10,1,0,5,5,CLE,East,Central,Home,Loss,3
10/27/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Dalen,Eric,Zielinski,Gary,Kennedy,Bill,Kevin Durant,Starter,39,SF,81,225,12/29/1988,31,6,4,1,2,2,20,9,0.45,11,5,0.4545,9,4,0.4444,9,9,1,3,8,11,WAS,East,Southeast,Away,Loss,2
2/3/2018,9:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,0,Taylor,Ben,Malloy,Ed,Acosta,Ray,Kevin Durant,Starter,42,SF,81,225,12/29/1988,31,7,1,0,2,1,16,12,0.75,14,12,0.8571,2,0,0,9,7,0.7778,0,6,6,DEN,West,Northwest,Home,Win,1
10/21/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,0,Goble,Jacyn,Forte,Brian,Wall,Scott,Kevin Durant,Starter,40,SF,81,225,12/29/1988,29,3,6,1,3,2,24,11,0.4583,15,7,0.4667,9,4,0.4444,6,3,0.5,2,11,13,MEM,West,Southwest,Home,Win,3
11/29/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Cutler,Kevin,Tiven,Josh,Malloy,Ed,Kevin Durant,Starter,42,SF,81,225,12/29/1988,29,5,6,1,1,4,25,12,0.48,18,9,0.5,7,3,0.4286,4,2,0.5,0,7,7,LAL,West,Pacific,Home,Loss,2
11/11/2017,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Lindsay,Mark,Kogut,Marat,Brown,Tony,Kevin Durant,Starter,28,SF,81,225,12/29/1988,29,4,4,2,2,2,18,11,0.6111,12,8,0.6667,6,3,0.5,4,4,1,1,4,5,PHI,East,Atlantic,Away,Loss,1
10/25/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Lindsay,Mark,Fitzgerald,Kane,Cutler,Kevin,Kevin Durant,Starter,38,SF,81,225,12/29/1988,29,5,1,1,0,2,20,11,0.55,14,8,0.5714,6,3,0.5,6,4,0.6667,0,4,4,TOR,East,Atlantic,Away,Loss,2
12/11/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,3,Cutler,Kevin,Mott,Rodney,Capers,James,Kevin Durant,Starter,36,SF,81,225,12/29/1988,28,5,4,0,3,1,21,11,0.5238,17,9,0.5294,4,2,0.5,4,4,1,2,7,9,POR,West,Northwest,Away,Loss,2
1/25/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Twardoski,Scott,Davis,Marc,Boland,Matt,Kevin Durant,Starter,37,SF,81,225,12/29/1988,28,11,4,2,3,2,19,10,0.5263,10,4,0.4,9,6,0.6667,2,2,1,0,10,10,MIN,West,Northwest,Away,Loss,1
10/29/2017,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,1,Twardoski,Scott,Taylor,Ben,Stafford,Derrick,Kevin Durant,Starter,36,SF,81,225,12/29/1988,28,4,3,0,2,0,14,10,0.7143,7,7,1,7,3,0.4286,6,5,0.8333,1,5,6,DET,East,Central,Away,Win,0
11/18/2017,7:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,Holtkamp,Lauren,Brothers,Tony,Adams,Bennie,Kevin Durant,Starter,33,SF,81,225,12/29/1988,27,3,4,2,2,0,20,11,0.55,14,10,0.7143,6,1,0.1667,6,4,0.6667,1,4,5,PHI,East,Atlantic,Home,Loss,2
12/29/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,2,Taylor,Dedric,Davis,Marc,Van Duyne,Justin,Kevin Durant,Starter,34,SF,81,225,12/29/1988,27,6,3,0,0,3,19,8,0.4211,14,4,0.2857,5,4,0.8,7,7,1,0,4,4,CHA,East,Southeast,Away,Win,2
1/20/2018,8:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,3,Scott,Kevin,Phillips,Jason,Collins,Derrick,Kevin Durant,Starter,35,SF,81,225,12/29/1988,26,5,4,0,2,2,17,9,0.5294,11,5,0.4545,6,4,0.6667,5,4,0.8,0,7,7,HOU,West,Southwest,Home,Win,1
1/12/2018,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,Cutler,Kevin,Holtkamp,Lauren,Malloy,Ed,Kevin Durant,Starter,36,SF,81,225,12/29/1988,26,6,3,2,0,2,20,12,0.6,14,10,0.7143,6,2,0.3333,2,0,0,1,5,6,MIL,East,Central,Home,Loss,2
11/4/2017,9:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Guthrie,David,Holtkamp,Lauren,Wood,Leon,Kevin Durant,Starter,29,SF,81,225,12/29/1988,25,7,4,0,2,1,13,9,0.6923,5,5,1,8,4,0.5,3,3,1,1,6,7,DEN,West,Northwest,Home,Loss,1
12/25/2017,3:00,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,1,Zielinski,Gary,Wood,Leon,Stafford,Derrick,Kevin Durant,Starter,37,SF,81,225,12/29/1988,25,3,4,2,5,3,19,8,0.4211,10,5,0.5,9,3,0.3333,7,6,0.8571,2,5,7,CLE,East,Central,Away,Loss,3
10/23/2017,8:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Taylor,Dedric,Brown,Tony,Collins,Derrick,Kevin Durant,Starter,33,SF,81,225,12/29/1988,25,6,2,0,1,1,15,9,0.6,9,5,0.5556,6,4,0.6667,4,3,0.75,0,8,8,DAL,West,Southwest,Home,Loss,2
1/3/2018,8:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,4,Petraitis,Gediminas,Smith,Aaron,Foster,Scott,Kevin Durant,Starter,38,SF,81,225,12/29/1988,25,6,2,0,4,1,21,10,0.4762,16,9,0.5625,5,1,0.2,4,4,1,1,11,12,DAL,West,Southwest,Home,Loss,3
12/1/2017,7:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,Blair,Curtis,Foster,Scott,Lewis,Eric,Kevin Durant,Starter,30,SF,81,225,12/29/1988,25,7,1,0,4,3,14,10,0.7143,11,10,0.9091,3,0,0,5,5,1,0,2,2,ORL,East,Southeast,Home,Loss,2
1/13/2018,7:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,0,Petraitis,Gediminas,Kirkland,Courtney,Brothers,Tony,Kevin Durant,Starter,37,SF,81,225,12/29/1988,25,5,1,0,1,2,18,10,0.5556,12,7,0.5833,6,3,0.5,2,2,1,0,6,6,TOR,East,Atlantic,Home,Loss,1
12/3/2017,7:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Lindsay,Mark,Dalen,Eric,Kirkland,Courtney,Kevin Durant,Starter,28,SF,81,225,12/29/1988,24,7,4,1,0,1,18,9,0.5,11,7,0.6364,7,2,0.2857,4,4,1,1,2,3,MIA,East,Southeast,Home,Loss,1
11/16/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,2,Ford,Tyler,Fraher,Pat,Capers,James,Kevin Durant,Starter,35,SF,81,225,12/29/1988,24,3,3,1,2,2,18,9,0.5,13,7,0.5385,5,2,0.4,4,4,1,1,2,3,BOS,East,Atlantic,Home,Win,2
11/2/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Dalen,Eric,Kirkland,Courtney,Davis,Marc,Kevin Durant,Starter,35,SF,81,225,12/29/1988,24,5,2,0,3,5,18,9,0.5,14,7,0.5,4,2,0.5,4,4,1,0,8,8,SA,West,Southwest,Home,Loss,3
2/22/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,8,Buchert,Nick,Petraitis,Gediminas,Callahan,Mike,Kevin Durant,Starter,37,SF,81,225,12/29/1988,24,8,2,0,2,2,15,7,0.4667,11,5,0.4545,4,2,0.5,10,8,0.8,0,3,3,LAC,West,Pacific,Away,Loss,8
2/8/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Wright,Sean,Barnaky,Brent,Maddox,Tre,Kevin Durant,Starter,30,SF,81,225,12/29/1988,24,4,1,1,2,1,13,8,0.6154,7,4,0.5714,6,4,0.6667,4,4,1,0,9,9,DAL,West,Southwest,Away,Loss,3
10/20/2017,9:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Lane,Karl,Smith,Aaron,Malloy,Ed,Kevin Durant,Starter,38,SF,81,225,12/29/1988,22,2,5,1,7,3,18,9,0.5,12,6,0.5,6,3,0.5,1,1,1,0,8,8,NO,West,Southwest,Home,Loss,2
12/20/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Fitzgerald,Kane,Smith,Aaron,Ayotte,Mark,Kevin Durant,Starter,33,SF,81,225,12/29/1988,22,2,4,0,2,3,20,8,0.4,12,6,0.5,8,2,0.25,5,4,0.8,1,7,8,MEM,West,Southwest,Away,Loss,4
11/22/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,3,Lane,Karl,Scott,Kevin,McCutchen,Monty,Kevin Durant,Starter,33,SF,81,225,12/29/1988,21,2,4,2,0,3,17,8,0.4706,12,5,0.4167,5,3,0.6,2,2,1,0,5,5,OKC,West,Northwest,Home,Win,2
12/27/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Lane,Karl,Nansel,Brett,Corbin,Sean,Kevin Durant,Starter,29,SF,81,225,12/29/1988,21,4,2,0,3,3,10,7,0.7,7,5,0.7143,3,2,0.6667,5,5,1,0,6,6,UTA,West,Northwest,Away,Loss,1
11/13/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Workman,Haywoode,Zielinski,Gary,Lewis,Eric,Kevin Durant,Starter,30,SF,81,225,12/29/1988,21,8,2,0,0,2,18,9,0.5,14,9,0.6429,4,0,0,3,3,1,0,7,7,ORL,East,Southeast,Away,Loss,2
11/6/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Forte,Brian,Taylor,Dedric,Ayotte,Mark,Kevin Durant,Starter,33,SF,81,225,12/29/1988,21,6,1,1,3,3,13,5,0.3846,7,4,0.5714,6,1,0.1667,10,10,1,0,8,8,MIA,East,Southeast,Away,Loss,1
10/17/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,0,Maddox,Tre,Garretson,Ron,Foster,Scott,Kevin Durant,Starter,38,SF,81,225,12/29/1988,20,7,8,0,4,4,15,7,0.4667,10,5,0.5,5,2,0.4,5,4,0.8,1,4,5,HOU,West,Southwest,Away,Win,0
1/27/2018,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,1,Buchert,Nick,Taylor,Dedric,Stafford,Derrick,Kevin Durant,Starter,36,SF,81,225,12/29/1988,20,2,2,1,1,3,18,7,0.3889,13,6,0.4615,5,1,0.2,7,5,0.7143,1,8,9,BOS,East,Atlantic,Away,Loss,2
12/30/2017,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,0,Buchert,Nick,Maddox,Tre,Callahan,Mike,Kevin Durant,Starter,35,SF,81,225,12/29/1988,20,9,1,1,1,1,12,7,0.5833,8,5,0.625,4,2,0.5,4,4,1,1,4,5,MEM,West,Southwest,Away,Loss,2
12/4/2017,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,Orr,J.T.,Stafford,Derrick,Boland,Matt,Kevin Durant,Starter,35,SF,81,225,12/29/1988,19,5,7,2,1,3,21,8,0.381,16,7,0.4375,5,1,0.2,3,2,0.6667,0,7,7,NO,West,Southwest,Home,Loss,1
10/30/2017,10:30,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,1,Goble,John,Kogut,Marat,Richardson,Leroy,Kevin Durant,Starter,29,SF,81,225,12/29/1988,19,4,1,0,0,3,11,7,0.6364,8,5,0.625,3,2,0.6667,3,3,1,0,7,7,LAC,West,Pacific,Home,Loss,2
1/17/2018,8:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Win,2,Twardoski,Scott,Garretson,Ron,Ayotte,Mark,Kevin Durant,Starter,35,SF,81,225,12/29/1988,19,7,0,1,0,1,15,6,0.4,10,6,0.6,5,0,0,7,7,1,0,8,8,CHI,East,Central,Home,Loss,2
12/23/2017,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Loss,0,Orr,J.T.,Garretson,Ron,Brothers,Tony,Kevin Durant,Starter,35,SF,81,225,12/29/1988,18,1,3,2,2,0,17,6,0.3529,12,6,0.5,5,0,0,7,6,0.8571,1,5,6,DEN,West,Northwest,Away,Win,0
2/12/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,2,Guthrie,David,Washington,C.J.,Ayotte,Mark,Kevin Durant,Starter,30,SF,81,225,12/29/1988,17,6,4,0,2,2,9,8,0.8889,8,7,0.875,1,1,1,2,0,0,0,7,7,PHO,West,Pacific,Away,Loss,2
1/30/2018,9:00,Regular,Durant,Kevin,GS,West,Pacific,Away,Loss,4,Orr,J.T.,Garretson,Ron,Ayotte,Mark,Kevin Durant,Starter,30,SF,81,225,12/29/1988,17,3,0,1,0,0,13,5,0.3846,8,5,0.625,5,0,0,8,7,0.875,0,2,2,UTA,West,Northwest,Home,Win,4
1/23/2018,10:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,3,Williams,James,Barnaky,Brent,Nansel,Brett,Kevin Durant,Starter,32,SF,81,225,12/29/1988,14,14,5,2,2,3,10,4,0.4,5,2,0.4,5,2,0.4,4,4,1,1,3,4,NY,East,Atlantic,Away,Loss,2
2/10/2018,8:30,Regular,Durant,Kevin,GS,West,Pacific,Home,Win,1,Cutler,Kevin,Davis,Marc,Collins,Derrick,Kevin Durant,Starter,29,SF,81,225,12/29/1988,10,6,1,0,2,1,9,3,0.3333,8,3,0.375,1,0,0,4,4,1,1,5,6,SA,West,Southwest,Away,Loss,2
