gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
11/3/2017,7:00,Regular,James,LeBron,CLE,East,Central,Away,Win,2,Workman,Haywoode,Buchert,Nick,Kennedy,Bill,LeBron James,Starter,43,SF,80,240,12/30/1984,57,7,3,3,2,2,34,23,0.6765,30,21,0.7,4,2,0.5,9,9,1,5,6,11,WAS,East,Southeast,Home,Loss,2
12/19/2017,8:00,Regular,James,LeBron,CLE,East,Central,Away,Loss,2,Workman,Haywoode,Barnaky,Brent,Davis,Marc,LeBron James,Starter,34,SF,80,240,12/30/1984,39,7,7,3,2,1,22,14,0.6364,11,8,0.7273,11,6,0.5455,5,5,1,0,1,1,MIL,East,Central,Home,Win,3
11/17/2017,7:30,Regular,James,LeBron,CLE,East,Central,Home,Win,1,Wood,Leon,Corbin,Sean,Malloy,Ed,LeBron James,Starter,46,SF,80,240,12/30/1984,39,6,6,1,0,0,26,17,0.6538,17,13,0.7647,9,4,0.4444,5,1,0.2,1,13,14,LAC,West,Pacific,Away,Loss,3
2/13/2018,8:00,Regular,James,LeBron,CLE,East,Central,Away,Win,2,Fraher,Pat,Richardson,Derek,Capers,James,LeBron James,Starter,40,SF,80,240,12/30/1984,37,8,5,0,1,1,23,14,0.6087,16,11,0.6875,7,3,0.4286,10,6,0.6,0,8,8,OKC,West,Northwest,Home,Loss,2
2/7/2018,8:00,Regular,James,LeBron,CLE,East,Central,Home,Win,1,Buchert,Nick,Petraitis,Gediminas,Callahan,Mike,LeBron James,Starter,48,SF,80,240,12/30/1984,37,15,5,1,1,3,22,16,0.7273,15,11,0.7333,7,5,0.7143,2,0,0,1,9,10,MIN,West,Northwest,Away,Loss,3
12/2/2017,7:30,Regular,James,LeBron,CLE,East,Central,Home,Win,2,Cutler,Kevin,Petraitis,Gediminas,Stafford,Derrick,LeBron James,Starter,39,SF,80,240,12/30/1984,34,12,5,0,1,1,22,13,0.5909,19,13,0.6842,3,0,0,8,8,1,0,2,2,MEM,West,Southwest,Away,Loss,0
12/21/2017,7:00,Regular,James,LeBron,CLE,East,Central,Home,Win,1,Goble,Jacyn,Adams,Bennie,Capers,James,LeBron James,Starter,39,SF,80,240,12/30/1984,34,9,4,3,0,1,23,12,0.5217,18,10,0.5556,5,2,0.4,8,8,1,1,5,6,CHI,East,Central,Away,Loss,0
10/24/2017,7:00,Regular,James,LeBron,CLE,East,Central,Home,Win,2,Scott,Kevin,Zarba,Zach,DeRosa,Joe,LeBron James,Starter,37,SF,80,240,12/30/1984,34,13,2,3,0,1,20,13,0.65,14,9,0.6429,6,4,0.6667,5,4,0.8,0,2,2,CHI,East,Central,Away,Loss,2
11/9/2017,8:00,Regular,James,LeBron,CLE,East,Central,Away,Loss,2,Kogut,Marat,Foster,Scott,Brown,Tony,LeBron James,Starter,40,SF,80,240,12/30/1984,33,7,9,1,1,4,24,15,0.625,20,14,0.7,4,1,0.25,3,2,0.6667,0,4,4,HOU,West,Southwest,Home,Win,4
11/1/2017,7:00,Regular,James,LeBron,CLE,East,Central,Home,Loss,3,Fitzgerald,Kane,Maddox,Tre,Ervin,Mitchell,LeBron James,Starter,37,SF,80,240,12/30/1984,33,11,8,2,1,1,22,14,0.6364,17,13,0.7647,5,1,0.2,5,4,0.8,1,5,6,IND,East,Central,Away,Win,1
11/22/2017,7:00,Regular,James,LeBron,CLE,East,Central,Home,Win,2,Smith,Michael,Davis,Marc,Sterling,Jonathan,LeBron James,Starter,33,SF,80,240,12/30/1984,33,5,3,2,0,2,17,11,0.6471,10,7,0.7,7,4,0.5714,9,7,0.7778,1,5,6,BKN,East,Atlantic,Away,Loss,3
