gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/25/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Cutler,Kevin,Garretson,Ron,Zarba,Zach,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,46,6,6,2,0,3,29,19,0.6552,26,18,0.6923,3,1,0.3333,10,7,0.7,0,6,6,WAS,East,Southeast,Away,Loss,2
12/29/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,2,Taylor,Ben,Wood,Leon,Stafford,Derrick,Russell Westbrook,Starter,40,PG,75,187,11/12/1988,40,9,5,1,0,4,34,16,0.4706,25,14,0.56,9,2,0.2222,9,6,0.6667,3,11,14,MIL,East,Central,Away,Win,1
1/10/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,1,Wright,Sean,Kogut,Marat,Ayotte,Mark,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,38,5,4,4,0,0,23,15,0.6522,21,14,0.6667,2,1,0.5,9,7,0.7778,2,8,10,MIN,West,Northwest,Home,Win,2
12/18/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Buchert,Nick,Mauer,Ken,Boland,Matt,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,38,6,3,3,1,2,28,16,0.5714,25,15,0.6,3,1,0.3333,7,5,0.7143,2,7,9,DEN,West,Northwest,Away,Loss,2
12/31/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,1,Tiven,Josh,Taylor,Dedric,Davis,Marc,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,38,11,2,1,0,2,28,17,0.6071,24,17,0.7083,4,0,0,7,4,0.5714,1,14,15,DAL,West,Southwest,Away,Win,1
11/29/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,3,Wright,Sean,Ford,Tyler,Petraitis,Gediminas,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,37,5,7,5,0,3,23,11,0.4783,13,4,0.3077,10,7,0.7,12,8,0.6667,4,7,11,ORL,East,Southeast,Home,Win,2
1/28/2018,6:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Smith,Aaron,Foster,Scott,Lewis,Eric,Russell Westbrook,Starter,41,PG,75,187,11/12/1988,37,14,1,2,0,3,33,14,0.4242,27,13,0.4815,6,1,0.1667,11,8,0.7273,2,7,9,PHI,East,Atlantic,Away,Loss,1
2/4/2018,2:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,1,Buchert,Nick,Lane,Karl,Phillips,Jason,Russell Westbrook,Starter,40,PG,75,187,11/12/1988,36,9,7,1,0,1,25,15,0.6,21,15,0.7143,4,0,0,8,6,0.75,1,4,5,LAL,West,Pacific,Away,Win,1
12/5/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Lindsay,Mark,Spooner,Bill,DeRosa,Joe,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,34,14,7,1,1,3,25,12,0.48,16,10,0.625,9,2,0.2222,9,8,0.8889,0,13,13,UTA,West,Northwest,Away,Loss,0
11/22/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Lane,Karl,Scott,Kevin,McCutchen,Monty,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,34,9,6,4,0,2,27,13,0.4815,23,12,0.5217,4,1,0.25,8,7,0.875,2,8,10,GS,West,Pacific,Away,Loss,3
2/6/2018,10:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,2,Kogut,Marat,Holtkamp,Lauren,Mauer,Ken,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,34,9,4,0,0,2,26,13,0.5,21,11,0.5238,5,2,0.4,6,6,1,0,9,9,GS,West,Pacific,Home,Loss,3
1/23/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,3,Richardson,Leroy,Corbin,Sean,Phillips,Jason,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,32,6,1,2,0,2,27,12,0.4444,23,12,0.5217,4,0,0,11,8,0.7273,1,4,5,BKN,East,Atlantic,Away,Loss,2
1/27/2018,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Guthrie,David,Ervin,Mitchell,Washington,Tom,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,31,13,6,2,0,3,22,13,0.5909,18,10,0.5556,4,3,0.75,4,2,0.5,4,7,11,DET,East,Central,Home,Loss,3
12/25/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Buchert,Nick,Twardoski,Scott,Washington,Tom,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,31,11,5,3,0,3,24,12,0.5,23,12,0.5217,1,0,0,8,7,0.875,0,6,6,HOU,West,Southwest,Away,Loss,3
12/7/2017,10:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Wall,Scott,Malloy,Ed,Ayotte,Mark,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,31,6,3,0,0,4,27,10,0.3704,21,8,0.381,6,2,0.3333,12,9,0.75,0,8,8,BKN,East,Atlantic,Home,Win,3
10/22/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,0,Zielinski,Gary,Washington,Tom,Sterling,Jonathan,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,31,10,2,0,1,0,24,12,0.5,16,7,0.4375,8,5,0.625,4,2,0.5,0,5,5,MIN,West,Northwest,Away,Win,1
12/27/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Guthrie,David,Goble,John,Acosta,Ray,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,30,13,7,2,0,1,22,11,0.5,21,11,0.5238,1,0,0,10,8,0.8,2,6,8,TOR,East,Atlantic,Away,Loss,1
12/22/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Kirkland,Courtney,Zarba,Zach,Sterling,Jonathan,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,30,15,3,2,1,0,17,12,0.7059,15,11,0.7333,2,1,0.5,5,5,1,1,6,7,ATL,East,Southeast,Away,Loss,2
12/11/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,1,Petraitis,Gediminas,Richardson,Leroy,Brothers,Tony,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,30,7,2,3,0,3,22,10,0.4545,20,9,0.45,2,1,0.5,9,9,1,1,3,4,CHA,East,Southeast,Away,Win,2
1/4/2018,10:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Orr,J.T.,Zielinski,Gary,Capers,James,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,29,11,6,1,0,3,24,11,0.4583,22,9,0.4091,2,2,1,6,5,0.8333,2,10,12,LAC,West,Pacific,Home,Loss,2
10/25/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,3,Forte,Brian,Washington,C.J.,Collins,Derrick,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,28,16,7,3,0,3,18,10,0.5556,14,8,0.5714,4,2,0.5,10,6,0.6,1,9,10,IND,East,Central,Away,Loss,1
11/25/2017,8:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,1,Barnaky,Brent,Taylor,Dedric,Stafford,Derrick,Russell Westbrook,Starter,40,PG,75,187,11/12/1988,28,9,4,1,0,2,19,9,0.4737,11,5,0.4545,8,4,0.5,9,6,0.6667,1,11,12,DAL,West,Southwest,Home,Win,3
10/27/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Van Duyne,Justin,Mauer,Ken,Brown,Tony,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,27,9,8,2,0,5,18,10,0.5556,15,9,0.6,3,1,0.3333,8,6,0.75,1,7,8,MIN,West,Northwest,Home,Win,2
12/15/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,2,Williams,James,Taylor,Dedric,Malloy,Ed,Russell Westbrook,Starter,52,PG,75,187,11/12/1988,27,15,6,2,0,1,33,10,0.303,28,8,0.2857,5,2,0.4,12,5,0.4167,5,13,18,PHI,East,Atlantic,Home,Loss,2
11/24/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,2,Dalen,Eric,Washington,C.J.,Mauer,Ken,Russell Westbrook,Starter,39,PG,75,187,11/12/1988,27,11,5,3,0,2,29,10,0.3448,19,9,0.4737,10,1,0.1,7,6,0.8571,1,10,11,DET,East,Central,Away,Win,4
11/12/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,1,Goble,Jacyn,Adams,Bennie,Corbin,Sean,Russell Westbrook,Starter,33,PG,75,187,11/12/1988,27,5,4,3,0,2,18,6,0.3333,13,3,0.2308,5,3,0.6,13,12,0.9231,0,6,6,DAL,West,Southwest,Away,Loss,0
12/23/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Tiven,Josh,Stafford,Derrick,Richardson,Derek,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,27,10,2,1,1,3,24,11,0.4583,21,9,0.4286,3,2,0.6667,4,3,0.75,2,8,10,UTA,West,Northwest,Home,Loss,1
1/7/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Cutler,Kevin,Foster,Scott,Acosta,Ray,Russell Westbrook,Starter,34,PG,75,187,11/12/1988,26,11,6,2,0,2,21,11,0.5238,20,10,0.5,1,1,1,7,3,0.4286,3,7,10,PHO,West,Pacific,Home,Win,1
12/16/2017,7:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,1,Guthrie,David,Fitzgerald,Kane,Van Duyne,Justin,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,25,7,4,2,0,3,18,9,0.5,15,9,0.6,3,0,0,10,7,0.7,2,5,7,NY,East,Atlantic,Home,Win,2
1/13/2018,5:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,2,Goble,John,Workman,Haywoode,Taylor,Dedric,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,25,7,3,2,1,1,27,10,0.3704,24,10,0.4167,3,0,0,7,5,0.7143,2,8,10,CHA,East,Southeast,Home,Loss,0
11/5/2017,9:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,1,Orr,J.T.,Maddox,Tre,Mott,Rodney,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,25,9,2,2,0,4,25,10,0.4,15,7,0.4667,10,3,0.3,7,2,0.2857,0,6,6,POR,West,Northwest,Home,Win,2
12/20/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Wright,Sean,Dalen,Eric,Zielinski,Gary,Russell Westbrook,Starter,27,PG,75,187,11/12/1988,24,7,1,4,0,2,13,10,0.7692,13,10,0.7692,0,0,0,4,4,1,4,6,10,UTA,West,Northwest,Away,Loss,2
1/20/2018,3:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,2,Forte,Brian,Ford,Tyler,Davis,Marc,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,23,20,5,2,0,1,17,9,0.5294,16,8,0.5,1,1,1,5,4,0.8,2,7,9,CLE,East,Central,Home,Loss,1
2/14/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Guthrie,David,Washington,C.J.,Boland,Matt,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,23,15,4,1,2,1,14,6,0.4286,10,6,0.6,4,0,0,12,11,0.9167,2,11,13,MEM,West,Southwest,Home,Loss,3
12/3/2017,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,1,Fitzgerald,Kane,Blair,Curtis,Adams,Bennie,Russell Westbrook,Starter,39,PG,75,187,11/12/1988,22,10,7,1,0,2,22,9,0.4091,20,7,0.35,2,2,1,6,2,0.3333,3,7,10,SA,West,Southwest,Away,Loss,1
1/9/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,2,Lane,Karl,Malloy,Ed,Van Duyne,Justin,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,22,12,6,3,2,1,20,7,0.35,17,6,0.3529,3,1,0.3333,10,7,0.7,2,7,9,POR,West,Northwest,Away,Win,1
11/10/2017,9:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,0,Fitzgerald,Kane,Kirkland,Courtney,Richardson,Derek,Russell Westbrook,Starter,34,PG,75,187,11/12/1988,22,8,4,3,0,3,16,8,0.5,13,7,0.5385,3,1,0.3333,6,5,0.8333,1,2,3,LAC,West,Pacific,Away,Loss,3
11/20/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,3,Buchert,Nick,Van Duyne,Justin,Collins,Derrick,Russell Westbrook,Starter,39,PG,75,187,11/12/1988,22,12,3,3,0,3,19,6,0.3158,12,4,0.3333,7,2,0.2857,10,8,0.8,3,13,16,NO,West,Southwest,Home,Win,2
10/19/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,0,Buchert,Nick,Ford,Tyler,Capers,James,Russell Westbrook,Starter,33,PG,75,187,11/12/1988,21,16,7,0,1,4,12,7,0.5833,11,7,0.6364,1,0,0,10,7,0.7,2,8,10,NY,East,Atlantic,Away,Loss,0
11/15/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,3,Wright,Sean,Tiven,Josh,Holtkamp,Lauren,Russell Westbrook,Starter,32,PG,75,187,11/12/1988,21,7,4,4,0,3,13,6,0.4615,8,4,0.5,5,2,0.4,7,7,1,0,5,5,CHI,East,Central,Away,Loss,3
2/13/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,2,Fraher,Pat,Richardson,Derek,Capers,James,Russell Westbrook,Starter,39,PG,75,187,11/12/1988,21,12,1,2,0,2,19,7,0.3684,16,7,0.4375,3,0,0,8,7,0.875,2,5,7,CLE,East,Central,Away,Win,2
11/7/2017,10:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Cutler,Kevin,Forte,Brian,Capers,James,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,20,6,7,3,0,2,21,7,0.3333,13,5,0.3846,8,2,0.25,5,4,0.8,0,12,12,SAC,West,Pacific,Home,Win,3
2/1/2018,10:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Zarba,Zach,Brown,Tony,Van Duyne,Justin,Russell Westbrook,Starter,39,PG,75,187,11/12/1988,20,21,3,2,1,5,18,7,0.3889,13,5,0.3846,5,2,0.4,4,4,1,0,9,9,DEN,West,Northwest,Home,Win,2
12/9/2017,9:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Kogut,Marat,Scott,Kevin,Capers,James,Russell Westbrook,Starter,43,PG,75,187,11/12/1988,20,14,3,1,0,5,29,7,0.2414,17,6,0.3529,12,1,0.0833,8,5,0.625,3,8,11,MEM,West,Southwest,Home,Loss,1
1/3/2018,10:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,3,Holtkamp,Lauren,Zarba,Zach,Lewis,Eric,Russell Westbrook,Starter,28,PG,75,187,11/12/1988,20,12,2,1,0,0,17,10,0.5882,17,10,0.5882,0,0,0,0,0,0,0,6,6,LAL,West,Pacific,Home,Loss,2
1/15/2018,3:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,1,Petraitis,Gediminas,Mauer,Ken,Boland,Matt,Russell Westbrook,Starter,33,PG,75,187,11/12/1988,19,9,10,1,0,2,14,8,0.5714,13,8,0.6154,1,0,0,7,3,0.4286,3,13,16,SAC,West,Pacific,Away,Loss,1
11/3/2017,9:30,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,3,Taylor,Ben,Fraher,Pat,Callahan,Mike,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,19,11,6,1,0,5,20,7,0.35,13,4,0.3077,7,3,0.4286,2,2,1,1,5,6,BOS,East,Atlantic,Away,Win,2
1/17/2018,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Kirkland,Courtney,Wood,Leon,Capers,James,Russell Westbrook,Starter,28,PG,75,187,11/12/1988,19,7,3,2,0,1,22,8,0.3636,19,7,0.3684,3,1,0.3333,3,2,0.6667,2,4,6,LAL,West,Pacific,Away,Loss,2
2/22/2018,10:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,8,Taylor,Dedric,Davis,Marc,Lewis,Eric,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,17,11,8,2,0,1,14,4,0.2857,8,3,0.375,6,1,0.1667,10,8,0.8,0,15,15,SAC,West,Pacific,Home,Loss,8
2/2/2018,9:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Loss,0,Lindsay,Mark,Williams,James,Ford,Tyler,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,16,14,9,1,0,3,21,7,0.3333,14,6,0.4286,7,1,0.1429,1,1,1,1,9,10,NO,West,Southwest,Away,Win,3
12/1/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Home,Win,2,Goble,John,Nansel,Brett,Kirkland,Courtney,Russell Westbrook,Starter,37,PG,75,187,11/12/1988,15,14,7,2,0,2,21,6,0.2857,13,6,0.4615,8,0,0,4,3,0.75,4,5,9,MIN,West,Northwest,Away,Loss,2
11/17/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Guthrie,David,Richardson,Leroy,Kennedy,Bill,Russell Westbrook,Starter,38,PG,75,187,11/12/1988,15,9,2,0,0,3,22,5,0.2273,18,5,0.2778,4,0,0,5,5,1,3,6,9,SA,West,Southwest,Home,Win,2
1/30/2018,7:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Goble,Jacyn,Kogut,Marat,Brothers,Tony,Russell Westbrook,Starter,36,PG,75,187,11/12/1988,13,10,7,4,0,3,18,5,0.2778,14,4,0.2857,4,1,0.25,2,2,1,2,4,6,WAS,East,Southeast,Home,Win,4
11/9/2017,10:30,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Loss,2,Twardoski,Scott,Barnaky,Brent,Malloy,Ed,Russell Westbrook,Starter,35,PG,75,187,11/12/1988,13,5,3,3,0,2,22,6,0.2727,16,5,0.3125,6,1,0.1667,3,0,0,4,3,7,DEN,West,Northwest,Home,Win,2
10/31/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,3,Lane,Karl,Holtkamp,Lauren,Davis,Marc,Russell Westbrook,Starter,27,PG,75,187,11/12/1988,12,9,4,0,0,2,12,5,0.4167,10,5,0.5,2,0,0,3,2,0.6667,1,9,10,MIL,East,Central,Home,Loss,2
10/28/2017,8:00,Regular,Westbrook,Russell,OKC,West,Northwest,Away,Win,1,Goble,Jacyn,Guthrie,David,Boland,Matt,Russell Westbrook,Starter,28,PG,75,187,11/12/1988,12,13,2,2,0,2,13,5,0.3846,11,5,0.4545,2,0,0,3,2,0.6667,2,11,13,CHI,East,Central,Home,Loss,2
