gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
1/27/2018,8:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,1,Buchert,Nick,Taylor,Dedric,Stafford,Derrick,Stephen Curry,Starter,37,PG,75,185,3/14/1988,49,5,1,2,0,2,24,16,0.6667,11,8,0.7273,13,8,0.6154,10,9,0.9,0,4,4,BOS,East,Atlantic,Away,Loss,2
1/6/2018,3:30,Regular,Curry,Wardell,GS,West,Pacific,Away,Win,1,Goble,John,Workman,Haywoode,Ford,Tyler,Stephen Curry,Starter,30,PG,75,185,3/14/1988,45,3,2,3,0,2,21,11,0.5238,5,3,0.6,16,8,0.5,16,15,0.9375,2,4,6,LAC,West,Pacific,Home,Loss,1
2/22/2018,10:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,8,Buchert,Nick,Petraitis,Gediminas,Callahan,Mike,Stephen Curry,Starter,36,PG,75,185,3/14/1988,44,10,4,2,0,4,19,14,0.7368,8,6,0.75,11,8,0.7273,8,8,1,1,5,6,LAC,West,Pacific,Away,Loss,8
11/19/2017,6:00,Regular,Curry,Wardell,GS,West,Pacific,Away,Win,0,Fitzgerald,Kane,Taylor,Ben,Wall,Scott,Stephen Curry,Starter,33,PG,75,185,3/14/1988,39,7,7,3,0,6,24,14,0.5833,14,10,0.7143,10,4,0.4,8,7,0.875,3,8,11,BKN,East,Atlantic,Home,Loss,1
12/30/2017,8:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,0,Buchert,Nick,Maddox,Tre,Callahan,Mike,Stephen Curry,Starter,26,PG,75,185,3/14/1988,38,3,0,0,0,2,17,13,0.7647,4,3,0.75,13,10,0.7692,2,2,1,0,4,4,MEM,West,Southwest,Away,Loss,2
10/21/2017,8:00,Regular,Curry,Wardell,GS,West,Pacific,Away,Loss,0,Goble,Jacyn,Forte,Brian,Wall,Scott,Stephen Curry,Starter,30,PG,75,185,3/14/1988,37,3,2,0,0,5,17,9,0.5294,6,3,0.5,11,6,0.5455,13,13,1,0,6,6,MEM,West,Southwest,Home,Win,3
11/18/2017,7:30,Regular,Curry,Wardell,GS,West,Pacific,Away,Win,1,Holtkamp,Lauren,Brothers,Tony,Adams,Bennie,Stephen Curry,Starter,35,PG,75,185,3/14/1988,35,5,2,0,1,1,22,11,0.5,13,7,0.5385,9,4,0.4444,9,9,1,0,5,5,PHI,East,Atlantic,Home,Loss,2
11/24/2017,10:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,2,Orr,J.T.,Adams,Bennie,Ayotte,Mark,Stephen Curry,Starter,27,PG,75,185,3/14/1988,33,4,2,2,0,2,18,10,0.5556,7,6,0.8571,11,4,0.3636,9,9,1,0,7,7,CHI,East,Central,Away,Loss,2
1/8/2018,10:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,2,Kogut,Marat,Kennedy,Bill,Richardson,Derek,Stephen Curry,Starter,35,PG,75,185,3/14/1988,32,9,6,2,0,3,17,9,0.5294,7,4,0.5714,10,5,0.5,10,9,0.9,1,3,4,DEN,West,Northwest,Away,Loss,2
1/3/2018,8:30,Regular,Curry,Wardell,GS,West,Pacific,Away,Win,4,Petraitis,Gediminas,Smith,Aaron,Foster,Scott,Stephen Curry,Starter,34,PG,75,185,3/14/1988,32,8,3,1,0,1,19,11,0.5789,6,5,0.8333,13,6,0.4615,5,4,0.8,0,5,5,DAL,West,Southwest,Home,Loss,3
1/23/2018,10:30,Regular,Curry,Wardell,GS,West,Pacific,Home,Win,3,Williams,James,Barnaky,Brent,Nansel,Brett,Stephen Curry,Starter,33,PG,75,185,3/14/1988,32,7,1,0,0,2,19,9,0.4737,4,1,0.25,15,8,0.5333,6,6,1,0,6,6,NY,East,Atlantic,Away,Loss,2
12/4/2017,8:00,Regular,Curry,Wardell,GS,West,Pacific,Away,Win,1,Orr,J.T.,Stafford,Derrick,Boland,Matt,Stephen Curry,Starter,34,PG,75,185,3/14/1988,31,11,2,1,0,5,19,9,0.4737,8,4,0.5,11,5,0.4545,9,8,0.8889,2,3,5,NO,West,Southwest,Home,Loss,1
